"PUBLICATION DATE","REFERENCE YEAR","INDUSTRY","UNIT","FORECAST VALUE","REVISION REASON"
"20200116","2018","Total","Thousands of Jobs","4,551.342",
"20200116","2018","Private","Thousands of Jobs","3,963.017",
"20200116","2018","Financial Activities","Thousands of Jobs","474.683",
"20200116","2018","Securities","Thousands of Jobs","181.342",
"20200116","2018","Professional & Business Services","Thousands of Jobs","762.108",
"20200116","2018","Information","Thousands of Jobs","204.392",
"20200116","2018","Education","Thousands of Jobs","255.108",
"20200116","2018","Health & Social Services","Thousands of Jobs","751.075",
"20200116","2018","Leisure & Hospitality","Thousands of Jobs","462.983",
"20200116","2018","Wholesale & Retail Trade","Thousands of Jobs","490.067",
"20200116","2018","Transportation & Utilities","Thousands of Jobs","141.108",
"20200116","2018","Construction","Thousands of Jobs","157.825",
"20200116","2018","Manufacturing","Thousands of Jobs","70.567",
"20200116","2018","Other Services","Thousands of Jobs","193.1",
"20200116","2018","Government","Thousands of Jobs","588.325",
"20200116","2019","Total","Thousands of Jobs","4,639.431",
"20200116","2019","Private","Thousands of Jobs","4,045.167",
"20200116","2019","Financial Activities","Thousands of Jobs","474.929",
"20200116","2019","Securities","Thousands of Jobs","180.838",
"20200116","2019","Professional & Business Services","Thousands of Jobs","783.243",
"20200116","2019","Information","Thousands of Jobs","209.465",
"20200116","2019","Education","Thousands of Jobs","257.687",
"20200116","2019","Health & Social Services","Thousands of Jobs","790.046",
"20200116","2019","Leisure & Hospitality","Thousands of Jobs","467.681",
"20200116","2019","Wholesale & Retail Trade","Thousands of Jobs","492.959",
"20200116","2019","Transportation & Utilities","Thousands of Jobs","143.729",
"20200116","2019","Construction","Thousands of Jobs","159.453",
"20200116","2019","Manufacturing","Thousands of Jobs","69.243",
"20200116","2019","Other Services","Thousands of Jobs","196.732",
"20200116","2019","Government","Thousands of Jobs","594.264",
"20200116","2020","Total","Thousands of Jobs","4,695.972",
"20200116","2020","Private","Thousands of Jobs","4,101.728",
"20200116","2020","Financial Activities","Thousands of Jobs","481.299",
"20200116","2020","Securities","Thousands of Jobs","182.081",
"20200116","2020","Professional & Business Services","Thousands of Jobs","801.55",
"20200116","2020","Information","Thousands of Jobs","210.492",
"20200116","2020","Education","Thousands of Jobs","259.732",
"20200116","2020","Health & Social Services","Thousands of Jobs","806.49",
"20200116","2020","Leisure & Hospitality","Thousands of Jobs","470.177",
"20200116","2020","Wholesale & Retail Trade","Thousands of Jobs","496.79",
"20200116","2020","Transportation & Utilities","Thousands of Jobs","146.545",
"20200116","2020","Construction","Thousands of Jobs","160.48",
"20200116","2020","Manufacturing","Thousands of Jobs","67.815",
"20200116","2020","Other Services","Thousands of Jobs","200.357",
"20200116","2020","Government","Thousands of Jobs","594.244",
"20200416","2019","Total","Thousands of Jobs","4,655.339",
"20200416","2019","Private","Thousands of Jobs","4,067.351",
"20200416","2019","Financial Activities","Thousands of Jobs","482.403",
"20200416","2019","Securities","Thousands of Jobs","181.972",
"20200416","2019","Professional & Business Services","Thousands of Jobs","794.276",
"20200416","2019","Information","Thousands of Jobs","211.89",
"20200416","2019","Education","Thousands of Jobs","256.536",
"20200416","2019","Health & Social Services","Thousands of Jobs","799.448",
"20200416","2019","Leisure & Hospitality","Thousands of Jobs","466.889",
"20200416","2019","Wholesale & Retail Trade","Thousands of Jobs","485.835",
"20200416","2019","Transportation & Utilities","Thousands of Jobs","147.669",
"20200416","2019","Construction","Thousands of Jobs","160.233",
"20200416","2019","Manufacturing","Thousands of Jobs","67.275",
"20200416","2019","Other Services","Thousands of Jobs","194.897",
"20200416","2019","Government","Thousands of Jobs","587.988",
"20200416","2020","Total","Thousands of Jobs","4,304.906",
"20200416","2020","Private","Thousands of Jobs","3,713.922",
"20200416","2020","Financial Activities","Thousands of Jobs","459.956",
"20200416","2020","Securities","Thousands of Jobs","174.987",
"20200416","2020","Professional & Business Services","Thousands of Jobs","735.623",
"20200416","2020","Information","Thousands of Jobs","207.852",
"20200416","2020","Education","Thousands of Jobs","217.976",
"20200416","2020","Health & Social Services","Thousands of Jobs","835.489",
"20200416","2020","Leisure & Hospitality","Thousands of Jobs","355.745",
"20200416","2020","Wholesale & Retail Trade","Thousands of Jobs","400.487",
"20200416","2020","Transportation & Utilities","Thousands of Jobs","111.095",
"20200416","2020","Construction","Thousands of Jobs","152.913",
"20200416","2020","Manufacturing","Thousands of Jobs","48.666",
"20200416","2020","Other Services","Thousands of Jobs","188.12",
"20200416","2020","Government","Thousands of Jobs","590.984",
"20200416","2021","Total","Thousands of Jobs","4,518.163",
"20200416","2021","Private","Thousands of Jobs","3,927.259",
"20200416","2021","Financial Activities","Thousands of Jobs","471.12",
"20200416","2021","Securities","Thousands of Jobs","178.262",
"20200416","2021","Professional & Business Services","Thousands of Jobs","760.526",
"20200416","2021","Information","Thousands of Jobs","209.39",
"20200416","2021","Education","Thousands of Jobs","240.842",
"20200416","2021","Health & Social Services","Thousands of Jobs","860.883",
"20200416","2021","Leisure & Hospitality","Thousands of Jobs","444.514",
"20200416","2021","Wholesale & Retail Trade","Thousands of Jobs","433.121",
"20200416","2021","Transportation & Utilities","Thousands of Jobs","116.27",
"20200416","2021","Construction","Thousands of Jobs","152.751",
"20200416","2021","Manufacturing","Thousands of Jobs","46.553",
"20200416","2021","Other Services","Thousands of Jobs","191.288",
"20200416","2021","Government","Thousands of Jobs","590.904",
"20210114","2019","Total","Thousands of Jobs","4,651.4",
"20210114","2019","Private","Thousands of Jobs","4,063.4",
"20210114","2019","Financial Activities","Thousands of Jobs","482.4",
"20210114","2019","Securities","Thousands of Jobs","182.1",
"20210114","2019","Professional & Business Services","Thousands of Jobs","794.1",
"20210114","2019","Information","Thousands of Jobs","211.2",
"20210114","2019","Education","Thousands of Jobs","255.6",
"20210114","2019","Health & Social Services","Thousands of Jobs","799.4",
"20210114","2019","Leisure & Hospitality","Thousands of Jobs","466.2",
"20210114","2019","Wholesale & Retail Trade","Thousands of Jobs","485.2",
"20210114","2019","Transportation & Utilities","Thousands of Jobs","147.5",
"20210114","2019","Construction","Thousands of Jobs","159.9",
"20210114","2019","Manufacturing","Thousands of Jobs","67.3",
"20210114","2019","Other Services","Thousands of Jobs","194.7",
"20210114","2019","Government","Thousands of Jobs","588",
"20210114","2020","Total","Thousands of Jobs","4,140.5",
"20210114","2020","Private","Thousands of Jobs","3,564.7",
"20210114","2020","Financial Activities","Thousands of Jobs","461",
"20210114","2020","Securities","Thousands of Jobs","174.5",
"20210114","2020","Professional & Business Services","Thousands of Jobs","715.4",
"20210114","2020","Information","Thousands of Jobs","203.3",
"20210114","2020","Education","Thousands of Jobs","231.8",
"20210114","2020","Health & Social Services","Thousands of Jobs","771.1",
"20210114","2020","Leisure & Hospitality","Thousands of Jobs","278.6",
"20210114","2020","Wholesale & Retail Trade","Thousands of Jobs","427.6",
"20210114","2020","Transportation & Utilities","Thousands of Jobs","120.4",
"20210114","2020","Construction","Thousands of Jobs","137.4",
"20210114","2020","Manufacturing","Thousands of Jobs","56.2",
"20210114","2020","Other Services","Thousands of Jobs","165.5",
"20210114","2020","Government","Thousands of Jobs","573.3",
"20210114","2021","Total","Thousands of Jobs","4,331.7",
"20210114","2021","Private","Thousands of Jobs","3,745.1",
"20210114","2021","Financial Activities","Thousands of Jobs","466.3",
"20210114","2021","Securities","Thousands of Jobs","182.6",
"20210114","2021","Professional & Business Services","Thousands of Jobs","752.4",
"20210114","2021","Information","Thousands of Jobs","209.4",
"20210114","2021","Education","Thousands of Jobs","237.9",
"20210114","2021","Health & Social Services","Thousands of Jobs","802.5",
"20210114","2021","Leisure & Hospitality","Thousands of Jobs","322",
"20210114","2021","Wholesale & Retail Trade","Thousands of Jobs","449.3",
"20210114","2021","Transportation & Utilities","Thousands of Jobs","129.7",
"20210114","2021","Construction","Thousands of Jobs","153",
"20210114","2021","Manufacturing","Thousands of Jobs","54.3",
"20210114","2021","Other Services","Thousands of Jobs","175.7",
"20210114","2021","Government","Thousands of Jobs","578.9",
"20210426","2020","Total","Thousands of Jobs","4,133.5",
"20210426","2020","Private","Thousands of Jobs","3,545.5",
"20210426","2020","Financial Activities","Thousands of Jobs","469.8",
"20210426","2020","Securities","Thousands of Jobs","179.9",
"20210426","2020","Professional & Business Services","Thousands of Jobs","709.4",
"20210426","2020","Information","Thousands of Jobs","206.8",
"20210426","2020","Education","Thousands of Jobs","234.8",
"20210426","2020","Health & Social Services","Thousands of Jobs","769.6",
"20210426","2020","Leisure & Hospitality","Thousands of Jobs","271.8",
"20210426","2020","Wholesale & Retail Trade","Thousands of Jobs","407.3",
"20210426","2020","Transportation & Utilities","Thousands of Jobs","127",
"20210426","2020","Construction","Thousands of Jobs","138",
"20210426","2020","Manufacturing","Thousands of Jobs","53",
"20210426","2020","Other Services","Thousands of Jobs","158.1",
"20210426","2020","Government","Thousands of Jobs","588",
"20210426","2021","Total","Thousands of Jobs","4,284.8",
"20210426","2021","Private","Thousands of Jobs","3,697.7",
"20210426","2021","Financial Activities","Thousands of Jobs","473.4",
"20210426","2021","Securities","Thousands of Jobs","189.1",
"20210426","2021","Professional & Business Services","Thousands of Jobs","763.4",
"20210426","2021","Information","Thousands of Jobs","210.8",
"20210426","2021","Education","Thousands of Jobs","234.1",
"20210426","2021","Health & Social Services","Thousands of Jobs","789.1",
"20210426","2021","Leisure & Hospitality","Thousands of Jobs","301.4",
"20210426","2021","Wholesale & Retail Trade","Thousands of Jobs","422.6",
"20210426","2021","Transportation & Utilities","Thousands of Jobs","136.9",
"20210426","2021","Construction","Thousands of Jobs","145.1",
"20210426","2021","Manufacturing","Thousands of Jobs","54.8",
"20210426","2021","Other Services","Thousands of Jobs","163.2",
"20210426","2021","Government","Thousands of Jobs","590.7",
"20210426","2022","Total","Thousands of Jobs","4,577.3",
"20210426","2022","Private","Thousands of Jobs","3,987.7",
"20210426","2022","Financial Activities","Thousands of Jobs","490.3",
"20210426","2022","Securities","Thousands of Jobs","198.3",
"20210426","2022","Professional & Business Services","Thousands of Jobs","824.8",
"20210426","2022","Information","Thousands of Jobs","223.9",
"20210426","2022","Education","Thousands of Jobs","246.7",
"20210426","2022","Health & Social Services","Thousands of Jobs","813.7",
"20210426","2022","Leisure & Hospitality","Thousands of Jobs","394.5",
"20210426","2022","Wholesale & Retail Trade","Thousands of Jobs","458",
"20210426","2022","Transportation & Utilities","Thousands of Jobs","147.7",
"20210426","2022","Construction","Thousands of Jobs","152.3",
"20210426","2022","Manufacturing","Thousands of Jobs","57",
"20210426","2022","Other Services","Thousands of Jobs","175.2",
"20210426","2022","Government","Thousands of Jobs","593.9",
"20220216","2020","Total","Thousands of Jobs","4,133.5",
"20220216","2020","Private","Thousands of Jobs","3,545.5",
"20220216","2020","Financial Activities","Thousands of Jobs","469.8",
"20220216","2020","Securities","Thousands of Jobs","179.9",
"20220216","2020","Professional & Business Services","Thousands of Jobs","709.4",
"20220216","2020","Information","Thousands of Jobs","206.8",
"20220216","2020","Education","Thousands of Jobs","234.8",
"20220216","2020","Health & Social Services","Thousands of Jobs","769.6",
"20220216","2020","Leisure & Hospitality","Thousands of Jobs","271.8",
"20220216","2020","Wholesale & Retail Trade","Thousands of Jobs","407.3",
"20220216","2020","Transportation & Utilities","Thousands of Jobs","127",
"20220216","2020","Construction","Thousands of Jobs","138",
"20220216","2020","Manufacturing","Thousands of Jobs","53",
"20220216","2020","Other Services","Thousands of Jobs","158.1",
"20220216","2020","Government","Thousands of Jobs","588",
"20220216","2021","Total","Thousands of Jobs","4,177.7",
"20220216","2021","Private","Thousands of Jobs","3,589.5",
"20220216","2021","Financial Activities","Thousands of Jobs","459.3",
"20220216","2021","Securities","Thousands of Jobs","174.6",
"20220216","2021","Professional & Business Services","Thousands of Jobs","716.1",
"20220216","2021","Information","Thousands of Jobs","215.4",
"20220216","2021","Education","Thousands of Jobs","233.3",
"20220216","2021","Health & Social Services","Thousands of Jobs","794.5",
"20220216","2021","Leisure & Hospitality","Thousands of Jobs","281.4",
"20220216","2021","Wholesale & Retail Trade","Thousands of Jobs","414.7",
"20220216","2021","Transportation & Utilities","Thousands of Jobs","124.5",
"20220216","2021","Construction","Thousands of Jobs","135.6",
"20220216","2021","Manufacturing","Thousands of Jobs","53.2",
"20220216","2021","Other Services","Thousands of Jobs","158.8",
"20220216","2021","Government","Thousands of Jobs","588.1",
"20220216","2022","Total","Thousands of Jobs","4,369.6",
"20220216","2022","Private","Thousands of Jobs","3,779.5",
"20220216","2022","Financial Activities","Thousands of Jobs","463.8",
"20220216","2022","Securities","Thousands of Jobs","176.6",
"20220216","2022","Professional & Business Services","Thousands of Jobs","739",
"20220216","2022","Information","Thousands of Jobs","228.4",
"20220216","2022","Education","Thousands of Jobs","234",
"20220216","2022","Health & Social Services","Thousands of Jobs","831.7",
"20220216","2022","Leisure & Hospitality","Thousands of Jobs","358.8",
"20220216","2022","Wholesale & Retail Trade","Thousands of Jobs","425.7",
"20220216","2022","Transportation & Utilities","Thousands of Jobs","140.4",
"20220216","2022","Construction","Thousands of Jobs","141",
"20220216","2022","Manufacturing","Thousands of Jobs","52",
"20220216","2022","Other Services","Thousands of Jobs","164.5",
"20220216","2022","Government","Thousands of Jobs","590.1",
"20220426","2021","Total","Thousands of Jobs","4,238.3",
"20220426","2021","Private","Thousands of Jobs","3,663.9",
"20220426","2021","Financial Activities","Thousands of Jobs","465.2",
"20220426","2021","Securities","Thousands of Jobs","180",
"20220426","2021","Professional & Business Services","Thousands of Jobs","723.3",
"20220426","2021","Information","Thousands of Jobs","221.6",
"20220426","2021","Education","Thousands of Jobs","240.7",
"20220426","2021","Health & Social Services","Thousands of Jobs","798.4",
"20220426","2021","Leisure & Hospitality","Thousands of Jobs","301.5",
"20220426","2021","Wholesale & Retail Trade","Thousands of Jobs","415.8",
"20220426","2021","Transportation & Utilities","Thousands of Jobs","135.1",
"20220426","2021","Construction","Thousands of Jobs","141",
"20220426","2021","Manufacturing","Thousands of Jobs","54.4",
"20220426","2021","Other Services","Thousands of Jobs","167.2",
"20220426","2021","Government","Thousands of Jobs","574.4",
"20220426","2022","Total","Thousands of Jobs","4,437.9",
"20220426","2022","Private","Thousands of Jobs","3,861.1",
"20220426","2022","Financial Activities","Thousands of Jobs","470.8",
"20220426","2022","Securities","Thousands of Jobs","181.1",
"20220426","2022","Professional & Business Services","Thousands of Jobs","756",
"20220426","2022","Information","Thousands of Jobs","237.2",
"20220426","2022","Education","Thousands of Jobs","244.7",
"20220426","2022","Health & Social Services","Thousands of Jobs","823.1",
"20220426","2022","Leisure & Hospitality","Thousands of Jobs","384.6",
"20220426","2022","Wholesale & Retail Trade","Thousands of Jobs","430.6",
"20220426","2022","Transportation & Utilities","Thousands of Jobs","147.9",
"20220426","2022","Construction","Thousands of Jobs","141.3",
"20220426","2022","Manufacturing","Thousands of Jobs","54.3",
"20220426","2022","Other Services","Thousands of Jobs","175.5",
"20220426","2022","Government","Thousands of Jobs","576.8",
"20220426","2023","Total","Thousands of Jobs","4,566.3",
"20220426","2023","Private","Thousands of Jobs","3,987.9",
"20220426","2023","Financial Activities","Thousands of Jobs","477.9",
"20220426","2023","Securities","Thousands of Jobs","183.1",
"20220426","2023","Professional & Business Services","Thousands of Jobs","771.7",
"20220426","2023","Information","Thousands of Jobs","240.9",
"20220426","2023","Education","Thousands of Jobs","247.6",
"20220426","2023","Health & Social Services","Thousands of Jobs","844.5",
"20220426","2023","Leisure & Hospitality","Thousands of Jobs","433.4",
"20220426","2023","Wholesale & Retail Trade","Thousands of Jobs","442.9",
"20220426","2023","Transportation & Utilities","Thousands of Jobs","153.8",
"20220426","2023","Construction","Thousands of Jobs","148.5",
"20220426","2023","Manufacturing","Thousands of Jobs","49.8",
"20220426","2023","Other Services","Thousands of Jobs","181.8",
"20220426","2023","Government","Thousands of Jobs","578.4",
"20230112","2021","Total","Thousands of Jobs","4,238.258",
"20230112","2021","Private","Thousands of Jobs","3,663.85",
